Name,HOMFLY
3_1,(2*v^2-v^4)+ (v^2)*z^2
4_1,(v^(-2)-1+ v^2)+ (-1)*z^2
5_1,(3*v^4-2*v^6)+ (4*v^4-v^6)*z^2+ (v^4)*z^4
5_2,(v^2+ v^4-v^6)+ (v^2+ v^4)*z^2
6_1,(v^(-2)-v^2+ v^4)+ (-1-v^2)*z^2
6_2,(2-2*v^2+ v^4)+ (1-3*v^2+ v^4)*z^2+ (-v^2)*z^4
6_3,(-v^(-2)+ 3-v^2)+ (-v^(-2)+ 3-v^2)*z^2+ (1)*z^4
7_1,(4*v^6-3*v^8)+ (10*v^6-4*v^8)*z^2+ (6*v^6-v^8)*z^4+ (v^6)*z^6
7_2,(v^2+ v^6-v^8)+ (v^2+ v^4+ v^6)*z^2
7_3,(v^4+ 2*v^6-2*v^8)+ (3*v^4+ 3*v^6-v^8)*z^2+ (v^4+ v^6)*z^4
7_4,(2*v^4-v^8)+ (v^2+ 2*v^4+ v^6)*z^2
7_5,(2*v^4-v^8)+ (3*v^4+ 2*v^6-v^8)*z^2+ (v^4+ v^6)*z^4
7_6,(1-v^2+ 2*v^4-v^6)+ (1-2*v^2+ 2*v^4)*z^2+ (-v^2)*z^4
7_7,(v^(-4)-2*v^(-2)+ 2)+ (-2*v^(-2)+ 2-v^2)*z^2+ (1)*z^4
8_1,(v^(-2)-v^4+ v^6)+ (-1-v^2-v^4)*z^2
8_2,(3*v^2-3*v^4+ v^6)+ (4*v^2-7*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4+ (-v^4)*z^6
8_3,(v^(-4)-1+ v^4)+ (-v^(-2)-2-v^2)*z^2
8_4,(v^(-4)-2+ 2*v^2)+ (v^(-4)-2*v^(-2)-3+ v^2)*z^2+ (-v^(-2)-1)*z^4
8_5,(4*v^2-5*v^4+ 2*v^6)+ (4*v^2-8*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4+ (-v^4)*z^6
8_6,(2-v^2-v^4+ v^6)+ (1-2*v^2-2*v^4+ v^6)*z^2+ (-v^2-v^4)*z^4